web-scraper-order,web-scraper-start-url,category,category-href,name_of_card,structure_deck,card_details,number,rarity,attribute_monster_type_card_type,level,a_d,market_price_history,listed_median_price,first_edition_price,most_recent_sale_price,current_quantity_on_tcg_player,current_sellers,three_month_snapshot_lowest_sale_price,three_month_snapshot_highest_sale_price,average_daily_sold,total_sold,current_listings
"1740522009-11","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyUltra Rare, #SDWD-EN042Wishes for Eyes of Blue113 listings from $0.34Market Price:$0.42","https://www.tcgplayer.com/product/616599/yugioh-structure-deck-blue-eyes-white-destiny-wishes-for-eyes-of-blue?page=1","Wishes for Eyes of Blue - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","Discard 1 card; add 1 Level 1 LIGHT Tuner, and 1 Spell/Trap that mentions ""Blue-Eyes White Dragon"", from your Deck to your hand, except ""Wishes for Eyes of Blue"". You can banish this card from your GY, then target 1 ""Blue-Eyes White Dragon"" you control; equip 1 ""Blue-Eyes"" monster from your Extra Deck to it as an Equip Spell that gives it 400 ATK. You can only use each effect of ""Wishes for Eyes of Blue"" once per turn.","SDWD-EN042","Ultra Rare","SPELL /Normal Spell","","","$0.42","$0.50","(-91.80%)","$0.37","6056","112","$0.19","$5.00","26","2408","113 Listings"
"1740522013-12","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinySuper Rare, #SDWD-EN027Majesty of the White Dragons107 listings from $0.23Market Price:$0.25","https://www.tcgplayer.com/product/616584/yugioh-structure-deck-blue-eyes-white-destiny-majesty-of-the-white-dragons?page=1","Majesty of the White Dragons - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","Show up to 3 of the ""Blue-Eyes White Dragon"" in your hand, face-up Monster Zone, and/or GY, then destroy an equal number of cards your opponent controls. You can banish this card from your GY; Ritual Summon 1 Ritual Monster from your hand, by Tributing ""Blue-Eyes White Dragon(s)"" from your hand or field whose total Levels equal its Level. You can only use each effect of ""Majesty of the White Dragons"" once per turn.","SDWD-EN027","Super Rare","TRAP /Normal Trap","","","$0.25","$0.34","(-95.20%)","$0.23","5937","107","$0.09","$5.00","24","2216","107 Listings"
"1740522016-13","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyUltra Rare, #SDWD-EN041Maiden of White99 listings from $0.23Market Price:$0.26","https://www.tcgplayer.com/product/616598/yugioh-structure-deck-blue-eyes-white-destiny-maiden-of-white?page=1","Maiden of White - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","You can send this card from your hand or field to the GY; place 1 ""True Light"" from your hand, Deck, or GY, face-up in your Spell & Trap Zone. If you Special Summon ""Blue-Eyes White Dragon"" while this card is in your GY (except during the Damage Step): You can Special Summon this card. When a card or effect is activated that targets this card on the field, or when this card is targeted for an attack (Quick Effect): You can Special Summon 1 ""Blue-Eyes White Dragon"" or 1 Level 1 LIGHT Tuner from your GY. You can only use each effect of ""Maiden of White"" once per turn.","SDWD-EN041","Ultra Rare","LIGHT Spellcaster/Tuner/Effect Monster","1","0 / 0","$0.26","$0.35","(-94.60%)","N/A","5529","98","$0.15","$5.00","28","2571","99 Listings"
"1740522020-14","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinySuper Rare, #SDWD-EN004Neo Kaiser Sea Horse74 listings from $0.14Market Price:$0.22","https://www.tcgplayer.com/product/616561/yugioh-structure-deck-blue-eyes-white-destiny-neo-kaiser-sea-horse?page=1","Neo Kaiser Sea Horse - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","If you control ""Blue-Eyes White Dragon"": You can Special Summon this card from your hand. You can target 1 LIGHT Tuner you control; increase or decrease its Level by 1. If this card is sent from the field to the GY: You can send 1 ""Blue-Eyes"" monster or 1 monster that mentions ""Blue-Eyes White Dragon"" from your Deck to the GY, except ""Neo Kaiser Sea Horse"". You can only use each effect of ""Neo Kaiser Sea Horse"" once per turn.","SDWD-EN004","Super Rare","LIGHT Dragon/Tuner/Effect Monster","4","1700 / 1650","$0.21","$0.26","(-90.22%)","N/A","5343","74","$0.05","$2.50","29","2675","74 Listings"
"1740522024-15","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinySuper Rare, #SDWD-EN019Roar of the Blue-Eyed Dragons91 listings from $0.23Market Price:$0.27","https://www.tcgplayer.com/product/616576/yugioh-structure-deck-blue-eyes-white-destiny-roar-of-the-blue-eyed-dragons?page=1","Roar of the Blue-Eyed Dragons - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","Special Summon in Defense Position, 1 ""Blue-Eyes"" monster from your Deck, GY, or banishment (but if you control no ""Blue-Eyes White Dragon"", you can only Special Summon ""Blue-Eyes White Dragon"" with this effect), also you cannot Special Summon from the Extra Deck for the rest of this turn, except Dragon monsters. You can banish this card from your GY; Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand or field, including a ""Blue-Eyes"" monster. You can only use 1 ""Roar of the Blue-Eyed Dragons"" effect per turn, and only once that turn.","SDWD-EN019","Super Rare","SPELL /Normal Spell","","","$0.27","$0.30","(-91.33%)","$0.23","5204","91","$0.14","$3.00","34","3136","91 Listings"
"1740522028-16","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyCommon / Short Print, #SDWD-EN016Nibiru, the Primal Being69 listings from $0.41Market Price:$0.48","https://www.tcgplayer.com/product/616573/yugioh-structure-deck-blue-eyes-white-destiny-nibiru-the-primal-being?page=1","Nibiru, the Primal Being - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","During the Main Phase, if your opponent Normal or Special Summoned 5 or more monsters this turn (Quick Effect): You can Tribute as many face-up monsters on the field as possible, and if you do, Special Summon this card from your hand, then Special Summon 1 ""Primal Being Token"" (Rock/LIGHT/Level 11/ATK ?/DEF ?) to your opponent's field. (This Token's ATK/DEF become the combined original ATK/DEF of the Tributed monsters.) You can only use this effect of ""Nibiru, the Primal Being"" once per turn.","SDWD-EN016","Common","LIGHT Rock/Effect Monster","11","3000 / 600","$0.47","$0.65","(-83.61%)","$0.41","5809","69","$0.35","$2.99","37","3396","69 Listings"
"1740522032-17","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinySecret Rare, #SDWD-EN043Blue-Eyes Ultimate Spirit Dragon (Secret Rare)107 listings from $0.71Market Price:$0.84","https://www.tcgplayer.com/product/616556/yugioh-structure-deck-blue-eyes-white-destiny-blue-eyes-ultimate-spirit-dragon-secret-rare?page=1","Blue-Eyes Ultimate Spirit Dragon (Secret Rare) - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","2+ Tuners + 1 non-Tuner ""Blue-Eyes"" monster
Your opponent cannot banish cards from your GY. You can only use each of the following effects of ""Blue-Eyes Ultimate Spirit Dragon"" once per turn. When a card or effect is activated on the field (Quick Effect): You can negate the activation, and if you do, this card gains 1000 ATK until the end of this turn. If this card is destroyed by battle or card effect: You can Special Summon 1 LIGHT Dragon monster from your GY, except ""Blue-Eyes Ultimate Spirit Dragon"".","SDWD-EN043","Secret Rare","LIGHT Dragon/Synchro/Effect Monster","12","3500 / 4000","$0.84","$1.21","(-90.50%)","$0.73","1593","106","$0.10","$10.00","41","3753","107 Listings"
"1740522035-18","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyCommon / Short Print, #SDWD-EN031Infinite Impermanence71 listings from $2.42Market Price:$2.54","https://www.tcgplayer.com/product/616588/yugioh-structure-deck-blue-eyes-white-destiny-infinite-impermanence?page=1","Infinite Impermanence - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","Target 1 face-up monster your opponent controls; negate its effects (until the end of this turn), then, if this card was Set before activation and is on the field at resolution, for the rest of this turn all other Spell/Trap effects in this column are negated. If you control no cards, you can activate this card from your hand.","SDWD-EN031","Common","TRAP /Normal Trap","","","$2.54","$3.28","(-59.17%)","N/A","2582","71","$1.25","$6.49","55","5097","71 Listings"
"1740522039-19","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyCommon / Short Print, #SDWD-EN018Effect Veiler85 listings from $0.28Market Price:$0.33","https://www.tcgplayer.com/product/616575/yugioh-structure-deck-blue-eyes-white-destiny-effect-veiler?page=1","Effect Veiler - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","During your opponent's Main Phase (Quick Effect): You can send this card from your hand to the GY, then target 1 Effect Monster your opponent controls; negate the effects of that face-up monster your opponent controls, until the end of this turn.","SDWD-EN018","Common","LIGHT Spellcaster/Tuner/Effect Monster","1","0 / 0","$0.33","$0.49","(-79.63%)","N/A","8752","85","$0.01","$1.82","46","4187","85 Listings"
"1740522043-20","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinySecret Rare, #SDWD-EN041Maiden of White (Secret Rare)63 listings from $1.35Market Price:$1.91","https://www.tcgplayer.com/product/616552/yugioh-structure-deck-blue-eyes-white-destiny-maiden-of-white-secret-rare?page=1","Maiden of White (Secret Rare) - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","You can send this card from your hand or field to the GY; place 1 ""True Light"" from your hand, Deck, or GY, face-up in your Spell & Trap Zone. If you Special Summon ""Blue-Eyes White Dragon"" while this card is in your GY (except during the Damage Step): You can Special Summon this card. When a card or effect is activated that targets this card on the field, or when this card is targeted for an attack (Quick Effect): You can Special Summon 1 ""Blue-Eyes White Dragon"" or 1 Level 1 LIGHT Tuner from your GY. You can only use each effect of ""Maiden of White"" once per turn.","SDWD-EN041","Secret Rare","LIGHT Spellcaster/Tuner/Effect Monster","1","0 / 0","$1.89","$2.50","(-79.20%)","$1.38","1222","63","$0.25","$10.00","48","4424","63 Listings"
"1740522047-21","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyUltra Rare, #SDWD-EN033Spirit with Eyes of Blue67 listings from $0.37Market Price:$0.42","https://www.tcgplayer.com/product/616590/yugioh-structure-deck-blue-eyes-white-destiny-spirit-with-eyes-of-blue?page=1","Spirit with Eyes of Blue - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","1 Level 4 or lower Dragon or Spellcaster monster
You cannot Special Summon, except Dragon monsters. You can only use each of the following effects of ""Spirit with Eyes of Blue"" once per turn. If this card is Link Summoned: You can take 1 ""Mausoleum of White"" from your Deck and either add it to your hand or send it to the GY. You can Tribute this card; Special Summon 1 ""Blue-Eyes"" monster from your hand or GY, but if you Special Summoned an Effect Monster from your GY by this effect, it cannot attack and its effects are negated.","SDWD-EN033","Ultra Rare","LIGHT Dragon/Link/Effect Monster","300 /","1","$0.42","$0.47","(-91.60%)","$0.47","4826","64","$0.23","$5.00","50","4600","67 Listings"
"1740522050-22","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinySecret Rare, #SDWD-EN042Wishes for Eyes of Blue (Secret Rare)59 listings from $0.94Market Price:$1.16","https://www.tcgplayer.com/product/616554/yugioh-structure-deck-blue-eyes-white-destiny-wishes-for-eyes-of-blue-secret-rare?page=1","Wishes for Eyes of Blue (Secret Rare) - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","Discard 1 card; add 1 Level 1 LIGHT Tuner, and 1 Spell/Trap that mentions ""Blue-Eyes White Dragon"", from your Deck to your hand, except ""Wishes for Eyes of Blue"". You can banish this card from your GY, then target 1 ""Blue-Eyes White Dragon"" you control; equip 1 ""Blue-Eyes"" monster from your Extra Deck to it as an Equip Spell that gives it 400 ATK. You can only use each effect of ""Wishes for Eyes of Blue"" once per turn.","SDWD-EN042","Secret Rare","SPELL /Normal Spell","","","$1.16","$1.29","(-87.40%)","$0.94","972","59","$0.75","$8.99","52","4739","59 Listings"
"1740522054-23","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyCommon / Short Print, #SDWD-EN017Ash Blossom & Joyous Spring56 listings from $1.86Market Price:$1.98","https://www.tcgplayer.com/product/616574/yugioh-structure-deck-blue-eyes-white-destiny-ash-blossom-and-joyous-spring?page=1","Ash Blossom & Joyous Spring - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","When a card or effect is activated that includes any of these effects (Quick Effect): You can discard this card; negate that effect.
• Add a card from the Deck to the hand.
• Special Summon from the Deck.
• Send a card from the Deck to the GY.
You can only use this effect of ""Ash Blossom & Joyous Spring"" once per turn.","SDWD-EN017","Common","FIRE Zombie/Tuner/Effect Monster","3","0 / 1800","$1.93","$2.40","(-50.99%)","N/A","3108","55","$1.01","$4.63","56","5177","56 Listings"
